# METADATA:
# 000XZ: Saint-Martin-du-Bec
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;pression_variation_3h;humidite;point_de_rosee;visibilite;vent_moyen;vent_rafales;vent_rafales_10min;vent_direction;temperature_min;temperature_max;pluie_1h;pluie_3h;pluie_6h;pluie_12h;pluie_24h;pluie_cumul_0h;pluie_intensite;pluie_intensite_max_1h;uv;uv_index;ensoleillement;temperature_sol;temps_omm;complements;source
string;YYYY-MM-DD hh:mm:ss;°C;hPa;hPa;%;°C;m;km/h;km/h;km/h;deg;°C;°C;mm;mm;mm;mm;mm;mm;mm/h;mm/h;W/m²;UV Index;hours;°C;https://www.infoclimat.fr/stations-meteo/ww.php;various;StatIC={oy1110,liveobjects,wlkIPxml,wlkLive,csv,weatherlink,vws,vws2,mnw,weewxPosteriori,wlk2webdlRR,wlkLivePostprocessed,wlk2webdl}|Synop={metno1,ogimet,bufr,inra,arpa-liguria,jma1,swiss-opendata,mcx,meteocentre,andorre,arpa-piemonte}
000XZ;2025-10-04 00:00:00;18.6;1004.3;;91;17.1;;33.3;;66.6;220;;;0;0;0;0;11.6;;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 00:10:00;18.6;1004.3;;91;17.1;;34;;52.1;216;18.6;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 00:20:00;18.6;1004.3;;91;17.1;;31.5;;60.8;221;18.6;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 00:30:00;18.6;1004.1;;91;17.1;;29.4;;55;223;18.6;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 00:40:00;18.4;1004;;92;17.1;;29.4;;57.9;227;18.4;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 00:50:00;18.1;1003.6;;93;17;;29;;57.9;221;18.1;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 01:00:00;18.1;1003.5;;93;16.9;;27.3;;43.5;223;18.1;18.6;0;0;0;0;11.6;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 01:10:00;18;1003.2;;94;17;;28.3;;55;218;18;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 01:20:00;18;1003.1;;94;17;;32.6;;63.7;218;17.9;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 01:30:00;17.8;1002.7;;95;17;;29;;52.1;221;17.8;18.6;;;;;;0;0;0;0;0;;;;0@@@@627.8;weatherlink
000XZ;2025-10-04 01:40:00;17.7;1002.6;;96;17.1;;33.3;;55;223;17.7;18.6;;;;;;0.2;0;0;0;0;;;;0@@@@628;weatherlink
000XZ;2025-10-04 01:50:00;17.6;1002.3;;96;17;;31.5;;55;218;17.6;18.6;;;;;;0.4;1.2;1.2;0;0;;;61;0@@@@628.2;weatherlink
000XZ;2025-10-04 02:00:00;17.6;1002.4;;97;17.1;;30.4;;57.9;220;17.6;18.6;0.8;0;0;0;12.4;0.8;2.6;2.6;0;0;;;63;0@@@@628.6;weatherlink
000XZ;2025-10-04 02:10:00;17.5;1002.3;;97;17;;27.6;;52.1;218;17.5;18.6;;;;;;1;1.4;2.6;0;0;;;61;0@@@@628.8;weatherlink
000XZ;2025-10-04 02:20:00;17.5;1002.1;;97;17;;28.3;;49.2;221;17.5;18.6;;;;;;1.6;3.6;3.6;0;0;;;63;0@@@@629.4;weatherlink
000XZ;2025-10-04 02:30:00;17.4;1002;;97;17;;31.2;;46.3;223;17.4;18.6;;;;;;2;1.8;3.6;0;0;;;61;0@@@@629.8;weatherlink
000XZ;2025-10-04 02:40:00;17.4;1001.7;;98;17.1;;30.4;;63.7;219;17.4;18.6;;;;;;2.2;1.2;3.6;0;0;;;61;0@@@@630;weatherlink
000XZ;2025-10-04 02:50:00;17.4;1001.7;;98;17.1;;28.3;;46.3;227;17.4;18.6;;;;;;2.6;2.4;3.6;0;0;;;61;0@@@@630.4;weatherlink
000XZ;2025-10-04 03:00:00;14.7;1002.8;-1.5;96;14.1;;30.8;;63.7;285;14.8;18.6;6.8;0;0;0;19.2;7.6;7.8;153.6;0;0;;;63;0@@@@635.4;weatherlink
000XZ;2025-10-04 03:10:00;14.4;1002.9;-1.4;97;13.9;;32.9;;57.9;270;14.4;18.6;;;;;;8.8;6;153.6;0;0;;;63;0@@@@636.6;weatherlink
000XZ;2025-10-04 03:20:00;14.3;1003.2;-1.1;97;13.9;;26.6;;55;255;14.3;18.6;;;;;;9.8;7;153.6;0;0;;;63;0@@@@637.6;weatherlink
000XZ;2025-10-04 03:30:00;14.1;1003.4;-0.9;97;13.6;;22.3;;57.9;254;14.1;18.6;;;;;;10.4;4.8;153.6;0;0;;;63;0@@@@638.2;weatherlink
000XZ;2025-10-04 03:40:00;14;1003.2;-1.1;97;13.5;;24.8;;60.8;261;14;18.6;;;;;;11.2;3;153.6;0;0;;;63;0@@@@639;weatherlink
000XZ;2025-10-04 03:50:00;14.1;1003.4;-0.9;97;13.6;;23;;43.5;252;14;18.6;;;;;;11.8;3.8;153.6;0;0;;;63;0@@@@639.6;weatherlink
000XZ;2025-10-04 04:00:00;13.8;1003.5;;97;13.4;;25.8;;72.4;252;13.9;18.6;4.8;0;0;0;24;12.4;2.4;8.4;0;0;;;61;0@@@@640.2;weatherlink
000XZ;2025-10-04 04:10:00;13.1;1003.6;0.1;96;12.4;;31.9;;72.4;277;12.9;18.6;;;;;;12.4;1;8;0;0;;;61;0@@@@640.2;weatherlink
000XZ;2025-10-04 04:20:00;13.1;1003.4;-0.1;94;12.1;;25.8;;52.1;265;12.9;18.6;;;;;;12.6;1;8;0;0;;;61;0@@@@640.4;weatherlink
000XZ;2025-10-04 04:30:00;13.3;1003.4;-0.1;93;12.2;;22;;46.3;251;12.9;18.6;;;;;;12.6;0;6.6;0;0;;;;0@@@@640.4;weatherlink
000XZ;2025-10-04 04:40:00;13.5;1003.6;0.1;87;11.4;;28.3;;55;245;12.9;18.6;;;;;;12.6;0;6.6;0;0;;;;0@@@@640.4;weatherlink
000XZ;2025-10-04 04:50:00;13.5;1003.5;;88;11.6;;20.9;;46.3;242;12.9;18.6;;;;;;12.8;0;4.2;0;0;;;;0@@@@640.6;weatherlink
000XZ;2025-10-04 05:00:00;13.5;1003.3;0.9;90;11.9;;18.1;;57.9;237;12.9;18.6;0.6;0;0;0;24.6;13;1.6;2.4;0;0;;;61;0@@@@640.8;weatherlink
000XZ;2025-10-04 05:10:00;13.5;1003.5;1.1;91;12.1;;16.3;;49.2;230;12.9;18.6;;;;;;13.4;3.8;3.8;0;0;;;63;0@@@@641.2;weatherlink
000XZ;2025-10-04 05:20:00;13.5;1003.5;1.1;92;12.2;;23;;49.2;261;12.9;18.6;;;;;;13.8;2.2;3.8;0;0;;;61;0@@@@641.6;weatherlink
000XZ;2025-10-04 05:30:00;13.7;1003.8;1.4;93;12.6;;28.7;;57.9;254;12.9;18.6;;;;;;14.8;6;26.2;0;0;;;63;0@@@@642.6;weatherlink
000XZ;2025-10-04 05:40:00;13.3;1003.7;1.3;94;12.4;;21.6;;46.3;271;12.9;18.6;;;;;;15.2;2;26.2;0;0;;;61;0@@@@643;weatherlink
000XZ;2025-10-04 05:50:00;13.4;1003.8;1.4;93;12.3;;26.2;;52.1;256;12.9;18.6;;;;;;15.2;0.8;26.2;0;0;;;;0@@@@643;weatherlink
000XZ;2025-10-04 06:00:00;13.6;1004;1.2;91;12.2;;25.5;;52.1;277;12.9;18.6;2.2;7.6;0;0;26.8;15.2;0;26.2;0;0;;;;0@@@@643;weatherlink
000XZ;2025-10-04 06:10:00;13.8;1004;1.2;86;11.5;;28.7;;55;271;12.9;18.6;;;;;;15.2;0;26.2;0;0;;;;0@@@@643;weatherlink
000XZ;2025-10-04 06:20:00;13.9;1004.1;1.3;83;11;;26.9;;49.2;242;12.9;18.6;;;;;;15.2;0;26.2;0;0;;;;0@@@@643;weatherlink
000XZ;2025-10-04 06:30:00;14.1;1004.2;1.4;82;11;;34.7;;72.4;268;12.9;18.6;;;;;;15.4;0;6;5;0;;;;0@@@@643.2;weatherlink
000XZ;2025-10-04 06:40:00;14;1004.3;1.5;80;10.6;;29;;60.8;266;12.9;18.6;;;;;;15.4;0;2;14;0;;;;0@@@@643.2;weatherlink
000XZ;2025-10-04 06:50:00;14.1;1004.3;1.5;79;10.5;;36.8;;75.3;286;12.9;18.6;;;;;;15.4;0;0.8;12;0;;;;0@@@@643.2;weatherlink
