date,temperature,humidite
2025-10-04 03:00:00,14.7,96
2025-10-04 03:10:00,14.4,97
2025-10-04 03:20:00,14.3,97
2025-10-04 03:30:00,14.1,97
2025-10-04 03:40:00,14,97
2025-10-04 03:50:00,14.1,97
2025-10-04 04:00:00,13.8,97
2025-10-04 04:10:00,13.1,96
2025-10-04 04:20:00,13.1,94
2025-10-04 04:30:00,13.3,93
2025-10-04 04:40:00,13.5,87
2025-10-04 04:50:00,13.5,88
2025-10-04 05:00:00,13.5,90
2025-10-04 05:10:00,13.5,91
2025-10-04 05:20:00,13.5,92
2025-10-04 05:30:00,13.7,93
2025-10-04 05:40:00,13.3,94
2025-10-04 05:50:00,13.4,93
2025-10-04 06:00:00,13.6,91
2025-10-04 06:10:00,13.8,86
2025-10-04 06:20:00,13.9,83
2025-10-04 06:30:00,14.1,82
2025-10-04 06:40:00,14,80
2025-10-04 06:50:00,14.1,79
2025-10-04 07:00:00,14.1,77
2025-10-04 07:10:00,14,72
2025-10-04 07:20:00,13.8,75
2025-10-04 07:30:00,13.3,77
2025-10-04 07:40:00,13.8,75
2025-10-04 07:50:00,13.7,76
2025-10-04 08:00:00,13.9,72
2025-10-04 08:10:00,13.9,75
2025-10-04 08:20:00,14.2,72
2025-10-04 08:30:00,13.1,77
2025-10-04 08:40:00,13.4,75
2025-10-04 08:50:00,13.8,74
2025-10-04 09:00:00,14.2,75
2025-10-04 09:10:00,11.9,80
2025-10-04 09:20:00,13.3,77
2025-10-04 09:30:00,11.7,83
2025-10-04 09:40:00,11.1,89
2025-10-04 09:50:00,12.1,85
2025-10-04 10:00:00,12.6,84
2025-10-04 10:10:00,13.2,81
2025-10-04 10:20:00,12.6,81
2025-10-04 10:30:00,13.5,77
2025-10-04 10:40:00,13.9,74
2025-10-04 10:50:00,13.9,74
2025-10-04 11:00:00,12.3,80
2025-10-04 11:10:00,12.6,83
2025-10-04 11:20:00,13.8,73
2025-10-04 11:30:00,14.3,70
2025-10-04 11:40:00,13.6,68
2025-10-04 11:50:00,10.8,83
2025-10-04 12:00:00,12.3,84
2025-10-04 12:10:00,13.7,79
2025-10-04 12:20:00,14.5,70
2025-10-04 12:30:00,14.6,67
2025-10-04 12:40:00,14.6,70
2025-10-04 12:50:00,14.9,69
2025-10-04 13:00:00,14.9,68
2025-10-04 13:10:00,14.4,70
2025-10-04 13:20:00,14.2,70
2025-10-04 13:30:00,13.2,76
2025-10-04 13:40:00,11.4,87
2025-10-04 13:50:00,11.9,78
2025-10-04 14:00:00,13.2,71
2025-10-04 14:10:00,14.3,72
2025-10-04 14:20:00,14.7,71
2025-10-04 14:30:00,14.7,73
2025-10-04 14:40:00,13.9,73
2025-10-04 14:50:00,13.5,76
2025-10-04 15:00:00,13.2,74
2025-10-04 15:10:00,13.6,74
2025-10-04 15:20:00,13.9,73
2025-10-04 15:30:00,14.5,74
2025-10-04 15:40:00,14.4,74
2025-10-04 15:50:00,14.2,75
2025-10-04 16:00:00,14,76
2025-10-04 16:10:00,14,74
2025-10-04 16:20:00,14.1,69
2025-10-04 16:30:00,14.2,72
2025-10-04 16:40:00,14,74
2025-10-04 16:50:00,13.9,73
2025-10-04 17:00:00,13.8,75
2025-10-04 17:10:00,12.6,74
2025-10-04 17:20:00,13.3,76
2025-10-04 17:30:00,13.6,76
2025-10-04 17:40:00,13.7,76
2025-10-04 17:50:00,13.8,76
2025-10-04 18:00:00,13.8,77
2025-10-04 18:10:00,13.9,73
2025-10-04 18:20:00,13.7,75
2025-10-04 18:30:00,13.8,75
2025-10-04 18:40:00,13.9,75
2025-10-04 18:50:00,14,75
2025-10-04 19:00:00,13.9,77
2025-10-04 19:10:00,14,76
2025-10-04 19:20:00,13.9,77
2025-10-04 19:30:00,13.8,78
2025-10-04 19:40:00,13.8,77
2025-10-04 19:50:00,13.7,77
2025-10-04 20:00:00,13.8,76
2025-10-04 20:10:00,14,75
2025-10-04 20:20:00,13.9,74
2025-10-04 20:30:00,14,73
2025-10-04 20:40:00,14.1,74
2025-10-04 20:50:00,14.1,73
2025-10-04 21:00:00,13.9,74
2025-10-04 21:10:00,13.9,74
2025-10-04 21:20:00,14,74
2025-10-04 21:30:00,14,74
2025-10-04 21:40:00,14.1,74
2025-10-04 21:50:00,14,74
2025-10-04 22:00:00,13.9,75
2025-10-04 22:10:00,14,74
2025-10-04 22:20:00,14,76
2025-10-04 22:30:00,14,76
2025-10-04 22:40:00,13.9,76
2025-10-04 22:50:00,13.9,76
2025-10-04 23:00:00,13.9,76
2025-10-04 23:10:00,13.9,76
2025-10-04 23:20:00,14.1,76
2025-10-04 23:30:00,14,76
2025-10-04 23:40:00,13.6,80
2025-10-04 23:50:00,13.8,78
2025-10-05 00:00:00,13.9,76
2025-10-05 00:10:00,13.9,79
2025-10-05 00:20:00,13.5,80
